animal,ar,ID,en
http://quranontology.com/Resource/Ant,نمل,Ant, Ant - Ants
http://quranontology.com/Resource/Ape,قرد,Ape, Ape - Apes
http://quranontology.com/Resource/Bee,نحلة,Bee,Bee -Bees
http://quranontology.com/Resource/Bird,طائر,Bird,Bird -Birds
http://quranontology.com/Resource/Butterfly,فراشة,Butterfly,Butterfly
http://quranontology.com/Resource/Calf,عجل,Calf,Calf -Calves
http://quranontology.com/Resource/Camel,جمل,Camel,Camel -Camels
http://quranontology.com/Resource/Lion,أسد,Lion,Lion -Lions
http://quranontology.com/Resource/Wolf,ذئب,Wolf,Wolf -Wolves
http://quranontology.com/Resource/Cow,بقرة,Cow,Cow -Cows
http://quranontology.com/Resource/Sheep,غنم,Sheep,Sheep -sheeps
http://quranontology.com/Resource/Crow,غراب,Crow,Crow -crows
http://quranontology.com/Resource/Dog,كلب,Dog,Dog -dogs
http://quranontology.com/Resource/Donkey,حمار,Donkey,Donkey -donkeys
http://quranontology.com/Resource/Elephant,فيل,Elephant,Elephant -elephants
http://quranontology.com/Resource/Fish,حوت,Fish,Fish -fishes
http://quranontology.com/Resource/Fly,ذباب,Fly,Fly - flies
http://quranontology.com/Resource/Frog,ضفدع,Frog,Frog -frogs
http://quranontology.com/Resource/Goat,ماعز,Goat,Goat -goats
http://quranontology.com/Resource/Hoopoe,هدهد,Hoopoe,Hoopoe
http://quranontology.com/Resource/Horse,حصان,Horse,Horse
http://quranontology.com/Resource/Locust,جرادة,Locust,Locust
http://quranontology.com/Resource/Louse,القمل,Louse,Louse
http://quranontology.com/Resource/Mosquito,بعوضة,Mosquito,Mosquito
http://quranontology.com/Resource/Mule,بغل,Mule,Mule
http://quranontology.com/Resource/Pig,خنزير,Pig,Pig
http://quranontology.com/Resource/Quail,سلوى,Quail,Quail
http://quranontology.com/Resource/Snake,حية,Snake,Snake
http://quranontology.com/Resource/Spider,عنكبوت,Spider,Spider
