id,english,arabic,alternatives
Rabdha,Rabdha,الربذة,الربذة
Taif,Taif,الطائف,الطائف
Iraq,Iraq,العراق,العراق
Khyber,Khyber,خيبر,خيبر
AsSahba,As-Sahba,الصهباء,الصهباء
Syria,Syria,أشأم,أشأم-الشأم-الشام
AlHafya,Al-Hafya,الحفياء,الحفياء
ThaniyatAlWida,Al Thaniyat al wida,ثنية الوداع,ثنية الوداع
Bahrain,Bahrain,البحرين,البحرين
DhulKhulaifa,Dhul Khulaifa,الحليفة,الحليفة
Habsha,Habsha,الحبشة,الحبشة
AlSafa,Al Saffa,الصفا,الصفا
Badr,Badr,بدر,بدر
AlRuwaitha,Al Ruwaitha,الرويثة,الرويثة
AlMarwa,Al Marwa,المروة,المروة
Hunayn,Hunain,حنين,حنين
Hijaz,Hijaz,الحجاز,الحجاز
Madina,Madina,مدينة,مدينة
Makkah,Mecca,مكة,مكة
Yemen,Yemen,يمن,يمن
Hims,Hims,حمص,حمص
Batha,Batha,البطحاء,البطحاء
Quba,Quba,قباء,قباء
Egypt,Egypt,مصر,مصر
Damascus,Damascus,دمشق,دمشق
Sanaa,Sana'a,صنعاء,صنعاء
Mautah,Mautah,مؤتة,مؤتة
Khudaibiya,Khudaibiya,الحديبية,الحديبية
Tabuk,Tabuk,تبوك,تبوك
Kaif,Kaif,قائف,قائف
Mina,Mena,منى,منى
Asfan,Asfan,عسفان,عسفان
AlArafat,al Arafat,عرفات,عرفات-عرفة
Village,Village,القرى,القرى
Masjid,Mosque,المسجد,المسجد
Stream,Stream,المسيل,المسيل
AlBaida,Al Baida,بالبيداء,بالبيداء
BirMauna,Bi'r Ma'una,معونة,معونة
Basra,Basra,البصرة,البصرة
Hajoun,Hajoun,الحجون,الحجون
Jiranah,al-Ji'ranah,الجعرانة,الجعرانة
AlJahfa,Al Jahfa,الجحفة,الجحفة
Kufa,Kufa,كوفة,كوفة
Rooha,Rooha,الروحاء,الروحاء
Muzdalifah,Muzdalifah,المزدلفة,المزدلفة
Basraf,Basraf,بسرف,بسرف
Khurasan,Khurasan,خراسان,خراسان
Yamamah,Yamamah,اليمامة,اليمامة
Sudan,Sudan,السودان,السودان
Najran,Najran,نجران,نجران
